Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Paladas totales,Swolf medio,Velocidad media de palada,Pasos,Repeticiones totales,Series totales,Descarga de Body Battery,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo respiratorio medio,Ritmo mínimo de respiración,Ritmo máximo de respiración,Cambio en estrés,Inicio del periodo de estrés,Fin del periodo de estrés,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Yoga,2026-03-11 08:51:42,false,"Yoga","--","89","00:31:25","78","107","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-3","--","No","00:31:25","1","--","13","8","21","29","49","78","51","85","00:31:25","00:31:25","--","--"
Entreno de fuerza,2026-03-11 06:36:26,false,"Fuerza","0.00","202","00:40:48","92","119","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","266","133","16","-3","--","No","00:40:48","1","--","--","--","--","--","--","--","--","--","00:09:41.2","00:40:48","--","--"
Ciclismo en sala,2026-03-10 21:53:57,false,"Ciclismo en sala","11.43","238","00:30:37","118","128","1.7","--","--","22.4","30.4","--","--","--","--","--","--","--","75","96","108","9.8","108","103","251","2280","--","--","--","--","--","-4","--","No","00:03:32.5","3","--","25","20","30","--","--","--","--","--","00:30:36","00:30:37","--","--"
Ciclismo,2026-03-09 14:31:54,false,"Chillán Ciclismo","4.62","123","00:18:21","111","177","1.3","--","--","15.1","21.9","168","42","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-2","--","No","00:18:21","1","--","--","--","--","--","--","--","--","--","00:18:03","00:18:21","125","270"
Natación en piscina,2026-03-09 13:28:53,false,"Natación en piscina","800","324","00:26:07","133","149","2.5","--","--","2:36","2:15","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","497","73","24","--","--","--","--","--","No","00:00:31.1","16","--","--","--","--","--","--","--","--","--","00:20:51","00:26:17","--","--"
Ciclismo,2026-03-09 12:48:28,false,"Chillán Ciclismo","4.34","128","00:14:09","125","137","1.6","--","--","18.4","25.5","15","43","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-3","--","No","00:14:09","1","--","--","--","--","--","--","--","--","--","00:13:28","00:14:09","113","142"
Ciclismo,2026-03-07 07:06:21,false,"Brevet Ñuble 200km","207.17","4,119","09:53:28","131","162","4.3","--","--","20.9","64.4","2,431","2,287","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-53","--","No","00:05:08.7","42","--","30","19","42","--","--","--","--","--","09:44:54","11:12:15","101","517"
Ciclismo en sala,2026-03-04 21:38:34,false,"Ciclismo en sala","23.09","486","01:00:01","120","134","2.4","--","--","23.1","29.6","--","--","--","--","--","--","--","84","102","115","22.0","115","109","228","5036","--","--","--","--","--","-7","--","No","00:07:42.7","5","--","28","20","34","--","--","--","--","--","00:59:54","01:00:48","--","--"
Yoga,2026-03-04 12:52:18,false,"Yoga","--","83","00:39:11","69","106","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-2","--","No","00:39:11","1","--","14","7","20","-14","20","6","31","77","00:39:11","00:39:11","--","--"
Entreno de fuerza,2026-03-03 06:47:47,false,"Fuerza","0.00","199","00:36:55","94","144","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","208","104","16","-4","--","No","00:36:55","1","--","--","--","--","--","--","--","--","--","00:13:47","00:36:55","--","--"
Natación en piscina,2026-03-02 13:01:57,false,"Natación en piscina","1,000","354","00:30:26","129","150","2.4","--","--","2:33","2:18","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","629","72","25","--","--","--","--","--","No","00:00:41.4","10","--","--","--","--","--","--","--","--","--","00:25:34","00:31:35","--","--"
Yoga,2026-03-02 07:24:29,false,"Yoga","--","72","00:38:48","67","88","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-4","--","No","00:38:48","1","--","14","8","20","-10","23","13","31","74","00:38:48","00:38:48","--","--"
